consolidated_id,title,year,venue,category,keywords,Latency,Reliability & QoS,Security & Privacy,Cost,Energy Consumption,Resource Management,Benchmarking & Evaluation
1,"Cold Start Latency in Serverless Computing: A Systematic Review, Taxonomy, and Future Directions",2024,ACM Computing Surveys,"Performance, Latency","cold start, survey, taxonomy",Yes,No,No,No,No,No,Yes
2,The Night Shift: Understanding Performance Variability of Cloud Serverless Platforms,2023,SESAME '23 Workshop (ACM),"Performance, Variability","performance variability, diurnal pattern, cold start",Yes,No,No,No,No,No,Yes
3,SeBS: A Serverless Benchmark Suite for Function-as-a-Service Computing,2020,arXiv (Benchmarking Suite),"Performance, Benchmarking","benchmark suite, performance evaluation",No,No,No,No,No,No,Yes
4,"Benchmarking, Analysis, and Optimization of Serverless Function Snapshots",2021,ASPLOS,"Performance, Startup","snapshot, Firecracker, cold start",Yes,No,No,No,No,No,Yes
5,Catalyzer: Sub-millisecond Startup for Serverless Computing with Initialization-less Booting,2020,ASPLOS,"Performance, Latency","cold start, kernel, quick boot",Yes,No,No,No,No,No,Yes
6,Firecracker: Lightweight Virtualization for Serverless Applications,2020,USENIX NSDI,"Performance, Isolation","microVM, isolation, startup time",Yes,No,No,No,No,No,Yes
7,SEUSS: Skip Redundant Paths to Make Serverless Fast,2020,EuroSys,"Performance, Optimization","optimizing platform, latency",Yes,No,No,No,No,No,Yes
8,From Warm to Hot Starts: Leveraging Runtimes for the Serverless Era,2021,HotOS,"Performance, Cold Start","runtime reuse, warm starts",Yes,No,No,No,No,No,Yes
9,Peeking Behind the Curtains of Serverless Platforms,2018,USENIX ATC,"Performance, Measurement","measurement study, AWS Lambda",No,No,No,No,No,No,Yes
10,Wukong: A Scalable and Locality-Enhanced Framework for Serverless Parallel Computing,2020,ACM SoCC,"Performance, Parallelism","parallel computing, locality",No,No,No,No,No,No,Yes
11,Atoll: A Scalable Low-Latency Serverless Platform,2021,ACM SoCC,"Performance, Latency","platform design, low latency",Yes,No,No,No,No,No,Yes
12,FaaStLane: Accelerating Function-as-a-Service Workflows,2021,USENIX ATC,"Performance, Workflow","workflow, caching, DAG",No,No,No,No,No,No,Yes
13,SAND: Towards High-Performance Serverless Computing,2018,USENIX ATC,"Performance, Cold Start","sandbox, warm pool",Yes,No,No,No,No,No,Yes
14,TinyFaaS: A Lightweight FaaS Platform for Edge Environments,2020,IEEE Fog Computing,"Performance, Edge","edge computing, lightweight FaaS",No,No,No,No,No,No,Yes
