paper_id,title,abstract,authors,journal,year,volume,issue,pages,publisher,doi,url,type
paper_001,Serverless Computing Performance Evaluation,,Preeti Sharma; Mihir Kumar; Kalpit Chouthwani,National Conference on Information Technology &amp; Digital Application (NCITSA-2025),2025,,,,Infogain Publicatiom,10.22161/ijaems.ncitsa.2025.53,https://doi.org/10.22161/ijaems.ncitsa.2025.53,proceedings-article
paper_002,Motivating High Performance Serverless Workloads,,Hai Duc Nguyen; Zhifei Yang; Andrew A. Chien,Proceedings of the 1st Workshop on High Performance Serverless Computing,2020,,,25-32,ACM,10.1145/3452413.3464786,https://doi.org/10.1145/3452413.3464786,proceedings-article
paper_003,Serverless High-Performance Computing over Cloud,"Abstract HPC clouds may provide fast access to fully configurable and dynamically scalable virtualized HPC clusters to address the complex and challenging computation and storage-intensive requirements. The complex environmental, software, and hardware requirements and dependencies on such systems make it challenging to carry out our large-scale simulations, prediction systems, and other data and compute-intensive workloads over the cloud. The article aims to present an architecture that enables HPC workloads to be serverless over the cloud (Shoc), one of the most critical cloud capabilities for HPC workloads. On one hand, Shoc utilizes the abstraction power of container technologies like Singularity and Docker, combined with the scheduling and resource management capabilities of Kubernetes. On the other hand, Shoc allows running any CPU-intensive and data-intensive workloads in the cloud without needing to manage HPC infrastructure, complex software, and hardware environment deployments.",Davit Petrosyan; Hrachya Astsatryan,Cybernetics and Information Technologies,2022,22,3,82-92,Walter de Gruyter GmbH,10.2478/cait-2022-0029,https://doi.org/10.2478/cait-2022-0029,journal-article
paper_004,Performance Analysis of Serverless Execution Environments,,Mohamed Elsakhawy; Michael Bauer,"2021 International Conference on Electrical, Communication, and Computer Engineering (ICECCE)",2021,,,1-6,IEEE,10.1109/icecce52056.2021.9514081,https://doi.org/10.1109/icecce52056.2021.9514081,proceedings-article
paper_005,Performance Benchmarking of Serverless Computing Platforms,,Dhruv Seth; Pradeep Chintale,International Journal of Computer Trends and Technology,2024,72,6,160-167,Seventh Sense Research Group Journals,10.14445/22312803/ijctt-v72i6p121,https://doi.org/10.14445/22312803/ijctt-v72i6p121,journal-article
paper_006,Performance Modeling of Serverless Computing Platforms,,Nima Mahmoudi; Hamzeh Khazaei,IEEE Transactions on Cloud Computing,2022,10,4,2834-2847,Institute of Electrical and Electronics Engineers (IEEE),10.1109/tcc.2020.3033373,https://doi.org/10.1109/tcc.2020.3033373,journal-article
paper_007,Optimizing performance of serverless application using PanOpticon,,Anisha Kumari; Ajibesh Mohapatra; Bibhudatta Sahoo,International Journal of Information Technology,2023,15,5,2529-2539,Springer Science and Business Media LLC,10.1007/s41870-023-01325-4,https://doi.org/10.1007/s41870-023-01325-4,journal-article
paper_008,Temporal Performance Modelling of Serverless Computing Platforms,,Nima Mahmoudi; Hamzeh Khazaei,Proceedings of the 2020 Sixth International Workshop on Serverless Computing,2020,,,1-6,ACM,10.1145/3429880.3430092,https://doi.org/10.1145/3429880.3430092,proceedings-article
paper_009,Characterizing X86 and ARM Serverless Performance Variation,,Danielle Lambion; Robert Schmitz; Robert Cordingly; Navid Heydari; Wes Lloyd,Companion of the 2022 ACM/SPEC International Conference on Performance Engineering,2022,,,69-75,ACM,10.1145/3491204.3543506,https://doi.org/10.1145/3491204.3543506,proceedings-article
paper_010,Unveiling overlooked performance variance in serverless computing,,Jinfeng Wen; Zhenpeng Chen; Federica Sarro; Shangguang Wang,Empirical Software Engineering,2025,30,2,,Springer Science and Business Media LLC,10.1007/s10664-025-10615-3,https://doi.org/10.1007/s10664-025-10615-3,journal-article
paper_011,Cross-Platform Performance Evaluation of Stateful Serverless Workflows,,Narges Shahidi; Jashwant Raj Gunasekaran; Mahmut Taylan Kandemir,2021 IEEE International Symposium on Workload Characterization (IISWC),2021,,,63-73,IEEE,10.1109/iiswc53511.2021.00017,https://doi.org/10.1109/iiswc53511.2021.00017,proceedings-article
paper_012,Kubernetes distributions for the edge: serverless performance evaluation,,Vojdan Kjorveziroski; Sonja Filiposka,The Journal of Supercomputing,2022,78,11,13728-13755,Springer Science and Business Media LLC,10.1007/s11227-022-04430-6,https://doi.org/10.1007/s11227-022-04430-6,journal-article
paper_013,Optimizing Cold Start Performance in Serverless Computing Environments,,Daniel-George Malancioiu; Harold-Nimrod Foldvari; Florin Craciun,2024 26th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing (SYNASC),2024,,,140-148,IEEE,10.1109/synasc65383.2024.00035,https://doi.org/10.1109/synasc65383.2024.00035,proceedings-article
paper_014,Serpens: A High-Performance Serverless Platform for NFV,,Junxian Shen; Heng Yu; Zhilong Zheng; Chen Sun; Mingwei Xu; Jilong Wang,2020 IEEE/ACM 28th International Symposium on Quality of Service (IWQoS),2020,,,1-10,IEEE,10.1109/iwqos49365.2020.9213030,https://doi.org/10.1109/iwqos49365.2020.9213030,proceedings-article
paper_015,TriggerBench: A Performance Benchmark for Serverless Function Triggers,,Joel Scheuner; Marcus Bertilsson; Oskar Gronqvist; Henrik Tao; Henrik Lagergren; Jan-Philipp Steghofer; Philipp Leitner,2022 IEEE International Conference on Cloud Engineering (IC2E),2022,,,96-103,IEEE,10.1109/ic2e55432.2022.00018,https://doi.org/10.1109/ic2e55432.2022.00018,proceedings-article
