paper_id,title,abstract,authors,journal,year,volume,issue,pages,publisher,doi,url,type,abstract_source,abstract_confidence,original_category,original_keywords,contributions,limitations
paper_001,Proactive Serverless Function Resource Management,"This paper introduces a new primitive to serverless language runtimes called freshen. With freshen, developers or providers specify functionality to perform before a given function executes. This proactive technique allows for overheads associated with serverless functions to be mitigated at execution time, which improves function responsiveness. We show various predictive opportunities exist to run freshen within reasonable time windows. A high-level design and implementation are described, along with preliminary results to show the potential benefits of our scheme.",Erika Hunhoff; Shazal Irshad; Vijay Thurimella; Ali Tariq; Eric Rozner,Proceedings of the 2020 Sixth International Workshop on Serverless Computing,2020,,,61-66,ACM,10.1145/3429880.3430102,https://doi.org/10.1145/3429880.3430102,proceedings-article,Semantic Scholar,high,"Latency, Resource Management","resource management, serverless, reinforcement learning, prediction",Various predictive opportunities exist to run freshen within reasonable time windows; A new primitive to serverless language runtimes called freshen,Not explicitly mentioned
paper_002,Resource Management in Aurora Serverless,"Amazon Aurora Serverless is an on-demand, autoscaling configuration for Amazon Aurora with full MySQL and PostgreSQL compatibility. It automatically offers capacity scale-up/down (i.e., vertical scaling) based on a customer database application's needs. For customers with time-varying workloads, it offers cost savings compared to provisioned Aurora or other alternatives due to its agile and granular scaling and its usage-based charging model. This paper describes the key ideas underlying Aurora Serverless's resource management. To help meet its goals, Aurora Serverless adapts and fine tunes well-established ideas related to resource over-subscription; reactive control informed by recent measurements; distributed & hierarchical decision-making; and innovations in the DB engine, OS, and hypervisor for efficiency. Perhaps the most challenging goal is to offer a consistent resource elasticity experience while operating hosts at high degrees of utilization. Aurora Serverless implements several novel ideas for striking a balance between these opposing needs. Its technique for mapping workloads to hosts ensures that, in the common case, there is adequate spare capacity within a host to support fast scale-up for a workload. In the rare event this is not so, it live migrates workloads to ensure seamless scale-up. Its load distribution strategy is characterized by ""unbalancing"" of load across hosts to enable agile live migrations. Finally, it employs a token bucket-based rate regulation mechanism to prevent a growing workload from saturating its host faster than live migration-based remedial actions.",Bradley Barnhart; Marc Brooker; Daniil Chinenkov; Tony Hooper; Jihoun Im; Prakash Chandra Jha; Tim Kraska; Ashok Kurakula; Alexey Kuznetsov; Grant McAlister; Arjun Muthukrishnan; Aravinthan Narayanan; Douglas Terry; Bhuvan Urgaonkar; Jiaming Yan,Proceedings of the VLDB Endowment,2024,17,12,4038-4050,Association for Computing Machinery (ACM),10.14778/3685800.3685825,https://doi.org/10.14778/3685800.3685825,journal-article,Semantic Scholar,high,"Cost, Energy Consumption, Resource Management","autoscaling, resource management, serverless, elasticity, load balancing, reinforcement learning, distributed systems",Novel approach to serverless computing challenges,Not explicitly mentioned
paper_003,Function-Aware Resource Management Framework for Serverless Edge Computing,"Serverless edge computing is an emerging concept where only required functions are defined and executed as container instances at the edge cloud. The edge cloud has finite resources; therefore, sophisticated resource management is indispensable to accommodate more requests. In this article, we propose a function-aware resource management (FARM) framework for serverless edge computing that defines per-function queues to maximally utilize edge cloud resources. The FARM framework optimally determines: 1) which container instances should be maintained as warm status and 2) the amount of computing resources assigned to them. The FARM framework specifically formulates a constrained Markov decision process problem to minimize the memory resource consumption for the warm status maintenance while guaranteeing on-time task completion and converts it to a linear programming model to derive the optimal solution. The evaluation results show that the FARM framework can reduce the memory resource consumption of the edge cloud while meeting the on-time task completion.",Haneul Ko; Sangheon Pack,IEEE Internet of Things Journal,2023,10,2,1310-1319,Institute of Electrical and Electronics Engineers (IEEE),10.1109/jiot.2022.3205166,https://doi.org/10.1109/jiot.2022.3205166,journal-article,Semantic Scholar,high,"Survey, Energy Consumption, Resource Management","resource management, serverless, containerization, cloud computing, queuing, reinforcement learning, memory management",A function-aware resource management (farm) framework for serverless edge computing that defines per-function queues to maximally utilize edge cloud resources,To minimize the memory resource consumption for the warm status maintenance while guaranteeing on-time task completion and converts it to a linear programming model to derive the optimal solution
paper_004,Deadline-aware Dynamic Resource Management in Serverless Computing Environments,"Serverless computing enables rapid application development and deployment by composing loosely coupled microservices at a scale. This emerging paradigm greatly unburdens the users of cloud environments, from the need to provision and manage the underlying cloud resources. With this shift in responsibility, the cloud provider faces the challenge of providing acceptable performance to the user without compromising on reliability, while having minimal knowledge of the application requirements. Sub-optimal resource allocations, specifically the CPU resources, could result in the violation of performance requirements of applications. Further, the fine-grained serverless billing model only charges for resource usage in terms of function execution time. At the same time, the provider has to maintain the underlying infrastructure in always-on mode to facilitate asynchronous function calls. Thus, achieving optimum utilization of cloud resources without compromising on application requirements is of high importance to the provider. Most of the current works only focus on minimizing function execution times caused by delays in infrastructure set up and reducing resource costs for the end-user. However, in this paper, we focus on both the provider and user’s perspective and propose a function placement policy and a dynamic resource management policy for applications deployed in serverless computing environments. The policies minimize the resource consumption cost for the service provider while meeting the user’s application requirement, i.e., deadline. The proposed solutions are sensitive to deadline and efficiently increase the resource utilization for the provider, while dynamically managing resources to improve function response times. We implement and evaluate our approach through simulation using ContainerCloudSim toolkit. The proposed function placement policy when compared with baseline scheduling techniques can reduce resource consumption by up to three times. The dynamic resource allocation policy when evaluated with a fixed resource allocation policy and a proportional CPU-shares policy shows improvements of up to 25% in meeting the required function deadlines.",Anupama Mampage; Shanika Karunasekera; Rajkumar Buyya,"2021 IEEE/ACM 21st International Symposium on Cluster, Cloud and Internet Computing (CCGrid)",2021,,,,IEEE,10.1109/ccgrid51090.2021.00058,https://doi.org/10.1109/ccgrid51090.2021.00058,proceedings-article,Semantic Scholar,high,"Latency, Reliability Security Privacy, Cost, Energy Consumption, Resource Management","resource management, function placement, serverless, containerization, microservices, cloud computing, latency, reinforcement learning, deadline, cpu allocation","And evaluate our approach through simulation using containercloudsim toolkit; Through simulation using containercloudsim toolkit; Solutions are sensitive to deadline and efficiently increase the resource utilization for the provider, while dynamically managing resources to improve function response times","Of providing acceptable performance to the user without compromising on reliability, while having minimal knowledge of the application requirements; In this paper, we focus on both the provider and user’s perspective and propose a function placement policy and a dynamic resource management policy for applications deployed in serverless computing environments"
paper_005,Reinforcement learning for resource management in multi-tenant serverless platforms,"Serverless Function-as-a-Service (FaaS) is an emerging cloud computing paradigm that frees application developers from infrastructure management tasks such as resource provisioning and scaling. To reduce the tail latency of functions and improve resource utilization, recent research has been focused on applying online learning algorithms such as reinforcement learning (RL) to manage resources. Compared to existing heuristics-based resource management approaches, RL-based approaches eliminate humans in the loop and avoid the painstaking generation of heuristics. In this paper, we show that the state-of-the-art single-agent RL algorithm (S-RL) suffers up to 4.6x higher function tail latency degradation on multi-tenant serverless FaaS platforms and is unable to converge during training. We then propose and implement a customized multi-agent RL algorithm based on Proximal Policy Optimization, i.e., multi-agent PPO (MA-PPO). We show that in multi-tenant environments, MA-PPO enables each agent to be trained until convergence and provides online performance comparable to S-RL in single-tenant cases with less than 10% degradation. Besides, MA-PPO provides a 4.4x improvement in S-RL performance (in terms of function tail latency) in multi-tenant cases.",Haoran Qiu; Weichao Mao; Archit Patke; Chen Wang; Hubertus Franke; Zbigniew T. Kalbarczyk; Tamer Başar; Ravishankar K. Iyer,Proceedings of the 2nd European Workshop on Machine Learning and Systems,2022,,,20-28,ACM,10.1145/3517207.3526971,https://doi.org/10.1145/3517207.3526971,proceedings-article,Semantic Scholar,high,"Latency, Resource Management","autoscaling, resource management, performance optimization, serverless, cloud computing, latency, multi-tenant, reinforcement learning","That the state-of-the-art single-agent rl algorithm (s-rl) suffers up to 4; That in multi-tenant environments, ma-ppo enables each agent to be trained until convergence and provides online performance comparable to s-rl in single-tenant cases with less than 10% degradation; 4x improvement",Not explicitly mentioned
paper_006,FuncScaler: Cold-Start-Aware Holistic Autoscaling for Serverless Resource Management,"Serverless computing, an emerging paradigm, bolsters operational efficiency and cost savings by enabling the dynamic execution of fine-grained functions through a Function as a Service (FaaS). It incorporates autoscaling, thereby eliminating the need for infrastructure management. However, the conventional autoscaling strategies employed by cloud service providers frequently result in cold starts and inefficiencies. The complexity of variable workloads and the intricate interdependencies between functions amplify this challenge. For the above, this paper introduces FuncScaler, a deep learning- enhanced, cold-start-aware, holistic autoscaling approach for FaaS. FuncScaler employs a Gated Recurrent GCN to capture spatiotemporal relationships among functions, aggregating neighbour information and controlling information flow. Additionally, the framework integrates a cold-start-aware Jackson Queuing Network (JQN), which utilizes predicted workloads to initiate pre-warming and holistically autoscales. This empowers FuncScaler to reveal deeper function relationships, precisely forecast workloads, and concurrently reconfigure interconnected resources, effectively mitigating cold starts and hotspots. Our study shows FuncScaler excels beyond five comparative methods in ensuring Quality of Service (QoS) and enhancing resource utilization, additionally reducing cold start latency by 42.3% compared to the second-best approach.",Shijie Song; Haogang Tong; Chunyang Meng; Maolin Pan; Yang Yu,2024 IEEE International Conference on Web Services (ICWS),2024,7,,1036-1047,IEEE,10.1109/icws62655.2024.00122,https://doi.org/10.1109/icws62655.2024.00122,proceedings-article,Semantic Scholar,high,"Survey, Latency, QoS, Cost, Energy Consumption, Resource Management","cold start, autoscaling, resource management, serverless, cloud computing, latency, queuing, reinforcement learning, deep learning","Funcscaler, a deep learning- enhanced, cold-start-aware, holistic autoscaling approach for faas",The conventional autoscaling strategies employed by cloud service providers frequently result in cold starts and inefficiencies
paper_007,"Resource Management in Serverless Computing - Review, Research Challenges, and Prospects","Serverless Computing has become one of the major trends for running cloud applications. The main advantage of serverless computing is that the infrastructure is being completely taken care of by the providers. Users are spared the burden and the complexity of managing the infrastructure. In serverless computing, cloud applications become for the users a collection of multiple cloud functions. Even though the infrastructure is completely under the control of providers, the resource management is very complex in nature and it is essential to take both the users’ and the consumers’ service requirements into consideration to achieve quality of service (QoS). In this research paper, we conduct a literature review on serverless computing, on various opensource frameworks supporting serverless computing, and on complexities involved in the management of serverless computing platform. The paper ends with a proposal for a rankbased cloud function scheduler for the allocation of cloud functions in the serverless computing environment. Based on the existing works and the preliminary experimentation, we are evident that the proposed mechanism will impact the performance metrics of throughput and the success rate of cloud functions execution.",Kannan Govindarajan; Andrè De Tienne,2023 12th International Conference on Advanced Computing (ICoAC),2023,,,5-Jan,IEEE,10.1109/icoac59537.2023.10249574,https://doi.org/10.1109/icoac59537.2023.10249574,proceedings-article,Semantic Scholar,high,"Survey, QoS, Resource Management","resource management, serverless, cloud computing, throughput, reinforcement learning",Mechanism will impact the performance metrics of throughput and the success rate of cloud functions execution,In nature and it is essential to take both the users’ and the consumers’ service requirements into consideration to achieve quality of service (qos)
paper_008,ENSURE: Efficient Scheduling and Autonomous Resource Management in Serverless Environments,"An imminent challenge in the serverless computing landscape is the escalating cost of infrastructure needed to handle the growing traffic at scale. This work presents ENSURE, a function-level scheduler and autonomous resource manager designed to minimize provider resource costs while meeting customer performance requirements. ENSURE works by classifying incoming function requests at runtime and carefully regulating the resource usage of colocated functions on each invoker. Beyond a single invoker, ENSURE elastically scales capacity, using concepts from operations research, in response to varying workload traffic to prevent cold starts. Finally, ENSURE schedules requests by concentrating load on an adequate number of invokers to encourage reuse of active hosts (thus further avoiding cold starts) and allow unneeded capacity to provably and gracefully time out. We implement ENSURE on Apache OpenWhisk and show that, across several serverless applications and compared to existing baselines, ENSURE significantly improves resource efficiency, by as much as 52%, while providing acceptable application latency.",Amoghavarsha Suresh; Gagan Somashekar; Anandh Varadarajan; Veerendra Ramesh Kakarla; Hima Upadhyay; Anshul Gandhi,2020 IEEE International Conference on Autonomic Computing and Self-Organizing Systems (ACSOS),2020,,,,IEEE,10.1109/acsos49614.2020.00020,https://doi.org/10.1109/acsos49614.2020.00020,proceedings-article,Semantic Scholar,high,"Latency, Cost, Energy Consumption, Resource Management","cold start, resource management, serverless, latency, elasticity, reinforcement learning","Ensure on apache openwhisk and show that, across several serverless applications and compared to existing baselines, ensure significantly improves resource efficiency, by as much as 52%, while providing acceptable application latency",In the serverless computing landscape is the escalating cost of infrastructure needed to handle the growing traffic at scale
paper_009,Optimizing Resource Management in Serverless Computing: A Dynamic Adaptive Scaling Approach,"Serverless computing, recognized as Function as a Service (FaaS), represents a revolutionary shift in cloud computing, placing a focal point on code-centric development and seamless automated infrastructure management. This paper presents a novel Dynamic Adaptive Resource Scaling Model designed for serverless computing environments, addressing the need for efficient and cost-effective resource management. The model leverages real-time workload monitoring, machine learning algorithms, and predictive analytics to dynamically adjust resource allocation in response to fluctuating demand.. Our findings reveal that the proposed model not only enhances operational efficiency but also substantially reduces costs. Key metrics demonstrate up to 30% improvement in resource utilization and a 25% reduction in operational expenses. The model’s adaptability to diverse workloads makes it a robust solution for modern cloud architectures. Insights from this study are vital for developers, cloud architects, and IT managers seeking to optimize resource management in serverless environments. Future research directions include integrating advanced machine learning techniques and expanding the model’s applicability across different cloud platforms.",Tanaya Biswas; Prashant Kumar,2024 15th International Conference on Computing Communication and Networking Technologies (ICCCNT),2024,,,7-Jan,IEEE,10.1109/icccnt61001.2024.10724128,https://doi.org/10.1109/icccnt61001.2024.10724128,proceedings-article,Semantic Scholar,high,"Cost, Energy Consumption, Resource Management","autoscaling, resource management, serverless, cloud computing, reinforcement learning, prediction, monitoring","A novel dynamic adaptive resource scaling model designed for serverless computing environments, addressing the need for efficient and cost-effective resource management; Model not only enhances operational efficiency but also substantially reduces costs; 30% improvement",Also substantially reduces costs
paper_010,ATOM: AI-Powered Sustainable Resource Management for Serverless Edge Computing Environments,"Serverless edge computing decreases unnecessary resource usage on end devices with limited processing power and storage capacity. Despite its benefits, serverless edge computing's zero scalability is the major source of the cold start delay, which is yet unsolved. This latency is unacceptable for time-sensitive Internet of Things (IoT) applications like autonomous cars. Most existing approaches need containers to idle and use extra computing resources. Edge devices have fewer resources than cloud-based systems, requiring new sustainable solutions. Therefore, we propose an AI-powered, sustainable resource management framework called ATOM for serverless edge computing. ATOM utilizes a deep reinforcement learning model to predict exactly when cold start latency will happen. We create a cold start dataset using a heart disease risk scenario and deploy using Google Cloud Functions. To demonstrate the superiority of ATOM, its performance is compared with two different baselines, which use the warm-start containers and a two-layer adaptive approach. The experimental results showed that although the ATOM required more calculation time of 118.76 seconds, it performed better in predicting cold start than baseline models with an RMSE ratio of 148.76. Additionally, the energy consumption and <inline-formula><tex-math notation=""LaTeX"">$CO_{2}$</tex-math><alternatives><mml:math><mml:mrow><mml:mi>C</mml:mi><mml:msub><mml:mi>O</mml:mi><mml:mn>2</mml:mn></mml:msub></mml:mrow></mml:math><inline-graphic xlink:href=""wu-ieq1-3348157.gif""/></alternatives></inline-formula> emission amount of these models are evaluated and compared for the training and prediction phases.",Muhammed Golec; Sukhpal Singh Gill; Felix Cuadrado; Ajith Kumar Parlikad; Minxian Xu; Huaming Wu; Steve Uhlig,IEEE Transactions on Sustainable Computing,2024,9,6,817-829,Institute of Electrical and Electronics Engineers (IEEE),10.1109/tsusc.2023.3348157,https://doi.org/10.1109/tsusc.2023.3348157,journal-article,Semantic Scholar,high,"Latency, Energy Consumption, Resource Management","cold start, warm start, resource management, serverless, containerization, cloud computing, latency, energy efficiency, reinforcement learning, prediction","An ai-powered, sustainable resource management framework called atom for serverless edge computing","The atom required more calculation time of 118; Its benefits, serverless edge computing's zero scalability is the major source of the cold start delay, which is yet unsolved"
