consolidated_id,title,year,venue,category,keywords,Latency,Reliability & QoS,Security & Privacy,Cost,Energy Consumption,Resource Management,Benchmarking & Evaluation
1,"Cold Start Latency in Serverless Computing: A Systematic Review, Taxonomy, and Future Directions",2024,ACM Computing Surveys,"Performance, Latency","cold start, survey, taxonomy",Yes,No,No,No,No,No,Yes
2,The Night Shift: Understanding Performance Variability of Cloud Serverless Platforms,2023,SESAME '23 Workshop (ACM),"Performance, Variability","performance variability, diurnal pattern, cold start",Yes,No,No,No,No,No,Yes
4,"Benchmarking, Analysis, and Optimization of Serverless Function Snapshots",2021,ASPLOS,"Performance, Startup","snapshot, Firecracker, cold start",Yes,No,No,No,No,No,Yes
5,Catalyzer: Sub-millisecond Startup for Serverless Computing with Initialization-less Booting,2020,ASPLOS,"Performance, Latency","cold start, kernel, quick boot",Yes,No,No,No,No,No,Yes
6,Firecracker: Lightweight Virtualization for Serverless Applications,2020,USENIX NSDI,"Performance, Isolation","microVM, isolation, startup time",Yes,No,No,No,No,No,Yes
7,SEUSS: Skip Redundant Paths to Make Serverless Fast,2020,EuroSys,"Performance, Optimization","optimizing platform, latency",Yes,No,No,No,No,No,Yes
8,From Warm to Hot Starts: Leveraging Runtimes for the Serverless Era,2021,HotOS,"Performance, Cold Start","runtime reuse, warm starts",Yes,No,No,No,No,No,Yes
11,Atoll: A Scalable Low-Latency Serverless Platform,2021,ACM SoCC,"Performance, Latency","platform design, low latency",Yes,No,No,No,No,No,Yes
13,SAND: Towards High-Performance Serverless Computing,2018,USENIX ATC,"Performance, Cold Start","sandbox, warm pool",Yes,No,No,No,No,No,Yes
15,Cold Start Latency Prediction Framework in Serverless Edge Computing,2024,IEEE JSAC,"Performance, Latency","edge, cold start, prediction",Yes,No,No,No,No,No,Yes
25,WLEC: A Not So Cold Architecture to Mitigate Cold Start Problem in Serverless Computing,2020,IEEE IC2E,"Security, Performance","cold start, architecture",Yes,No,Yes,No,No,No,Yes
30,Cocoa: Cold Start Aware Capacity Planning for Function-as-a-Service Platforms,2020,IEEE MASCOTS,"QoS, Performance","capacity planning, cold start",Yes,Yes,No,No,No,No,Yes
35,Defuse: A Dependency-Guided Function Scheduler to Mitigate Cold Starts on FaaS Platforms,2021,IEEE ICDCS,"QoS, Performance","scheduler, cold start",Yes,Yes,No,No,No,No,Yes
42,FaaSNet: Scalable and Fast Provisioning of Custom Serverless Container Runtimes,2021,USENIX ATC,"Cost, Performance","provisioning, startup, cost",Yes,No,No,Yes,No,Yes,Yes
