paper_id,title,abstract,authors,journal,year,volume,issue,pages,publisher,doi,url,type
paper_001,Secure Access Management in Serverless Computing Through Blockchain Integration,,Swarup Panda,International Journal of Science and Research (IJSR),2025,,,242-248,International Journal of Science and Research,10.21275/sr25804083648,https://doi.org/10.21275/sr25804083648,journal-article
paper_002,TOSS: Tiering of Serverless Snapshots for Memory-Efficient Serverless Computing,,Theodore Michailidis; Juno Kim; Linsong Guo; Steven Swanson; Jishen Zhao,2025 IEEE International Parallel and Distributed Processing Symposium (IPDPS),2025,,,2-14,IEEE,10.1109/ipdps64566.2025.00010,https://doi.org/10.1109/ipdps64566.2025.00010,proceedings-article
paper_003,Scaling Serverless Functions: Horizontal or Vertical? Both!,,Orestis Lagkas Nikolos; Chloe Alverti; Stratos Psomadakis; Georgios Goumas; Nectarios Koziris,"Proceedings of the 3rd Workshop on SErverless Systems, Applications and MEthodologies",2025,,,30-32,ACM,10.1145/3721465.3721865,https://doi.org/10.1145/3721465.3721865,proceedings-article
paper_004,Evaluating Serverless Function Deployment Models on AWS Lambda,,Gabriel Duessmann; Adriano Fiorese,Proceedings of the 27th International Conference on Enterprise Information Systems,2025,,,740-747,SCITEPRESS - Science and Technology Publications,10.5220/0013279500003929,https://doi.org/10.5220/0013279500003929,proceedings-article
paper_005,Using Multicriteria Decision Method to Score and Rank Serverless Providers,,Leandro Rittes; Adriano Fiorese,Proceedings of the 27th International Conference on Enterprise Information Systems,2025,,,27-36,SCITEPRESS - Science and Technology Publications,10.5220/0013295800003929,https://doi.org/10.5220/0013295800003929,proceedings-article
paper_006,A Framework for Evaluating Integration Testing Criteria in Serverless Applications,,Stefan Winzinger; Guido Wirtz,Proceedings of the 15th International Conference on Cloud Computing and Services Science,2025,,,167-173,SCITEPRESS - Science and Technology Publications,10.5220/0013283100003950,https://doi.org/10.5220/0013283100003950,proceedings-article
paper_007,Serverless computing for enterprise AI Integration: Evaluating the role of serverless architectures in scaling AI-driven enterprise integration,"Serverless computing is emerging as a transformative paradigm for integrating artificial intelligence into enterprise environments. This comprehensive article examines how serverless architectures streamline the deployment and scaling of AI applications, focusing on inherent benefits such as automatic scaling, cost efficiency, and reduced operational overhead. By decoupling infrastructure management from application logic, serverless platforms enable enterprises to rapidly deploy AI models and processing pipelines that can dynamically adjust to fluctuating workloads. The article investigates how event-driven serverless functions facilitate real-time data processing across distributed systems, ensuring optimal responsiveness for time-sensitive AI operations. Additionally, it addresses critical challenges associated with serverless computing—including cold-start latency, state management, and security concerns in multi-tenant environments—while outlining practical strategies to mitigate these issues. Through the examination of architectural patterns, implementation strategies, and emerging trends, the article provides a roadmap for organizations seeking to leverage serverless computing for enterprise AI integration, highlighting how this approach can significantly enhance agility and scalability in an increasingly competitive digital landscape.",Tejaswi Bharadwaj Katta,World Journal of Advanced Engineering Technology and Sciences,2025,15,1,1437-1446,GSC Online Press,10.30574/wjaets.2025.15.1.0376,https://doi.org/10.30574/wjaets.2025.15.1.0376,journal-article
paper_008,Advancing Serverless Workflow Efficiency: Integrating Functional Programming Constructs and DAG-Based Execution,,Nimród Földvári; Florin Crăciun,Proceedings of the 15th International Conference on Cloud Computing and Services Science,2025,,,239-246,SCITEPRESS - Science and Technology Publications,10.5220/0013428200003950,https://doi.org/10.5220/0013428200003950,proceedings-article
paper_009,Serverless Java: Cold Start Mitigation in Cloud Run/Spring Boot,"This paper focuses on the cold start latency problem in serverless Java applications, seen mainly when deploying with Google Cloud Run and Spring Boot. Auto-scaling, reduced infrastructure use, and cost savings are why serverless computing is becoming more popular. Still, Java applications generally face delays when starting up, referred to as cold starts, because the JVM must boot up, and Spring Boot comprises complex settings. Because of this latency, users' experience can become very poor, especially when using real-time APIs, chatbots, and e-commerce systems. The study explains the processes behind cold starts, their impact, and several ways to address them. Cloud Run's usage of containers and Spring Boot being a good choice for creating microservices is covered, as well as their difficulties in initializing quickly. Optimizations include adjusting container images, native compilation using GraalVM, setting ""minimum instances"" and concurrency in Cloud Run, using lazy initialization in Spring Boot, and routinely pinging during warm-up. These approaches have been observed to improve latency from several seconds to almost nothing whenever they are used. This research uses case analysis, benchmarking, and performance monitoring to examine the effectiveness of mitigation strategies. The paper concludes that although Java encounters some cold start difficulties, recent advancements in tools such as GraalVM, virtual machine design, and better cloud support are promising. If Java is configured correctly and sufficient time is spent planning, it can be an excellent fit for serverless environments on Google Cloud Run.",Sandeep Reddy Gundla,International journal of IoT,2025,05,01,126-145,European International Journal of Multidisciplinary Research and Management Studies,10.55640/ijiot-05-01-07,https://doi.org/10.55640/ijiot-05-01-07,journal-article
paper_010,Enhancing the efficiency and cost-reduction in serverless computing models on cloud platforms,,Mradula Sharma; Sadaf Mujawar,International Journal of Research Publication and Reviews,2025,6,sp5,352-356,Genesis Global Publication,10.55248/gengpi.6.sp525.1950,https://doi.org/10.55248/gengpi.6.sp525.1950,journal-article
paper_011,DEVELOPMENT OF SERVERLESS WEB APPLICATIONS  ON THE AZURE FUNCTIONS PLATFORM USING .NET,"The study examines the advantages of using a serverless architecture based on Azure Functions in combination with .NET technologies to create modern web applications. The limitations of traditional development approaches are analysed, including the complexity of scaling, infrastructure costs and limited flexibility. A review of relevant scientific publications on the use of serverless technologies and the features of Azure Functions integration with other Azure services was conducted. An experimental study has shown that the use of Azure Functions helps to reduce development time, increase the reliability and flexibility of applications. The paper emphasises the importance of security, authorisation and the correct choice of architectural solutions. The paper suggests areas for further research related to the integration of serverless solutions in the areas of IoT, Big Data, and Machine Learning.",Nykyta Krasnoshapka; Tetiana Seliviorstova,International scientific and technical conference Information technologies in metallurgy and machine building,2025,,,673-675,National Metallurgical Academy of Ukraine,10.34185/1991-7848.itmm.2025.01.121,https://doi.org/10.34185/1991-7848.itmm.2025.01.121,journal-article
paper_012,Shattering the Ephemeral Storage Cost Barrier for Data-Intensive Serverless Workflows,,Shyam Jesalpura; Dmitrii Ustiugov; Michal Baczun; Bora A. Malper; Rustem Feyzkhanov; Edouard Bugnion; Marios Kogias; Boris Grot,"Proceedings of the 3rd Workshop on SErverless Systems, Applications and MEthodologies",2025,,,33-41,ACM,10.1145/3721465.3721866,https://doi.org/10.1145/3721465.3721866,proceedings-article
