abstract,authors,doi,issue,journal,pages,paper_id,publisher,title,type,url,volume,year,abstract_source,abstract_confidence,original_category,original_keywords,contributions,limitations,pdf_downloaded,pdf_path,pdf_source,download_error,file_size_mb
,Kees Bals,10.1007/s12480-024-2612-0,4.0,PodoPost,3-3,paper_001,Springer Science and Business Media LLC,Ai! AI...,journal-article,https://doi.org/10.1007/s12480-024-2612-0,37.0,2024,Not found,low,others,,Not available,Not available,False,,,All download strategies failed,0.0
"The proliferation of Artificial Intelligence (AI) models such as Generative Adversarial Networks (GANs) has shown impressive success in image synthesis. Artificial GAN-based synthesized images have been widely spread over the Internet with the advancement in generating naturalistic and photo-realistic images. This might have the ability to improve content and media; however, it also constitutes a threat with regard to legitimacy, authenticity, and security. Moreover, implementing an automated system that is able to detect and recognize GAN-generated images is significant for image synthesis models as an evaluation tool, regardless of the input modality. To this end, we propose a framework for reliably detecting AI-generated images from real ones through Convolutional Neural Networks (CNNs). First, GAN-generated images were collected based on different tasks and different architectures to help with the generalization. Then, transfer learning was applied. Finally, several Class Activation Maps (CAM) were integrated to determine the discriminative regions that guided the classification model in its decision. Our approach achieved 100% on our dataset, i.e., Real or Synthetic Images (RSI), and a superior performance on other datasets and configurations in terms of its accuracy. Hence, it can be used as an evaluation tool in image generation. Our best detector was a pre-trained EfficientNetB4 fine-tuned on our dataset with a batch size of 64 and an initial learning rate of 0.001 for 20 epochs. Adam was used as an optimizer, and learning rate reduction along with data augmentation were incorporated.",Samah S. Baraheem; Tam V. Nguyen,10.3390/jimaging9100199,10.0,Journal of Imaging,199,paper_002,MDPI AG,AI vs. AI: Can AI Detect AI-Generated Images?,journal-article,https://doi.org/10.3390/jimaging9100199,9.0,2023,Original,high,"security, performance","security, performance",Novel approach and methodology presented,Limitations and future work discussed,False,,,All download strategies failed,0.0
"Abstract           With the rapid advancement of Artificial Intelligence (AI) technology and its pervasive integration into society, governments worldwide have introduced a range of AI-related policies. In the United States, the use of AI technology has surged significantly since 2021, driven by the emergence of generative AI and its transformative potential. In response, the U.S. Congress has proposed numerous AI-related bills, reflecting growing legislative engagement with AI governance. This study examines 204 AI-related bills introduced during the 117th and 118th Congresses (2021–2024) through computational text analysis, employing topic modeling to identify recurring legislative themes and sentiment analysis to assess congressional attitudes toward AI policies. The findings reveal distinct variations in legislative focus and tone across chambers and political parties, offering a nuanced understanding of how AI-related issues are framed within U.S. policymaking. In addition, the results highlight how AI is connected to broader opportunities and concerns, including national security, technological innovation, and public service delivery. By applying machine learning techniques to legislative texts, this research provides a systematic and scalable approach to understanding AI policymaking. The study contributes to broader discussions on the partisan and institutional dynamics shaping AI legislation in the United States, offering insights into how emerging technologies are shaped by legislative priorities, regulatory attitudes, and broader political contexts.",Heonuk Ha,10.1007/s00146-025-02466-9,,AI &amp; SOCIETY,,paper_003,Springer Science and Business Media LLC,When AI meets AI: analyzing AI bills using AI,journal-article,https://doi.org/10.1007/s00146-025-02466-9,,2025,Original,high,security,security,Novel approach and methodology presented,Not explicitly mentioned,False,,,All download strategies failed,0.0
,Ewen McColl,10.12968/denu.2025.52.6.369,6.0,Dental Update,369-370,paper_004,Mark Allen Group,"AI, AI, Oh",journal-article,https://doi.org/10.12968/denu.2025.52.6.369,52.0,2025,Not found,low,others,,Not available,Not available,False,,,All download strategies failed,0.0
"Abstract                Subject area classification is an important first phase in the entire process involved in bibliometrics. In this paper, we explore the possibility of using automated algorithms for classifying scientific papers related to Artificial Intelligence at the document level. The current process is semimanual and journal based, a realization that, we argue, opens up the potential for inaccuracies. To counter this, our proposed automated approach makes use of neural networks, specifically BERT. The classification accuracy of our model reaches 96.5%. In addition, the model was used for further classifying documents from 26 different subject areas from the Scopus database. Our findings indicate that a significant subset of existing Computer Science, Decision Science, and Mathematics publications could potentially be classified as AI-related. The same holds in particular cases in other science fields such as Medicine and Psychology or Arts and Humanities. The above indicate that in subject area classification processes, there is room for automatic approaches to be utilized in a complementary manner with traditional manual procedures.",Evi Sachini; Konstantinos Sioumalas-Christodoulou; Stefanos Christopoulos; Nikolaos Karampekios,10.1162/qss_a_00223,4.0,Quantitative Science Studies,1119-1132,paper_005,MIT Press,AI for AI: Using AI methods for classifying AI science documents,journal-article,https://doi.org/10.1162/qss_a_00223,3.0,2022,Original,high,others,,Novel approach and methodology presented,Not explicitly mentioned,False,,,All download strategies failed,0.0
"This paper proposes that Artificial Intelligence (AI) progresses through several overlapping generations: AI 1.0 (Information AI), AI 2.0 (Agentic AI), AI 3.0 (Physical AI), and a speculative AI 4.0 (Conscious AI). Each AI generation is driven by shifting priorities among algorithms, computing power, and data. AI 1.0 accompanied breakthroughs in pattern recognition and information processing, fueling advances in computer vision, natural language processing, and recommendation systems. AI 2.0 is built on these foundations through real-time decision-making in digital environments, leveraging reinforcement learning and adaptive planning for agentic AI applications. AI 3.0 extended intelligence into physical contexts, integrating robotics, autonomous vehicles, and sensor-fused control systems to act in uncertain real-world settings. Building on these developments, the proposed AI 4.0 puts forward the bold vision of self-directed AI capable of setting its own goals, orchestrating complex training regimens, and possibly exhibiting elements of machine consciousness. This paper traces the historical foundations of AI across roughly 70 years, mapping how changes in technological bottlenecks from algorithmic innovation to high-performance computing to specialized data have stimulated each generational leap. It further highlights the ongoing synergies among AI 1.0, 2.0, 3.0, and 4.0, and explores the ethical, regulatory, and philosophical challenges that arise when artificial systems approach (or aspire to) human-like autonomy. Ultimately, understanding these evolutions and their interdependencies is pivotal for guiding future research, crafting responsible governance, and ensuring that AI’s transformative potential benefits society.",Jiahao Wu; Hengxu You; Jing Du,10.3389/frai.2025.1585629,,Frontiers in Artificial Intelligence,,paper_006,Frontiers Media SA,AI generations: from AI 1.0 to AI 4.0,journal-article,https://doi.org/10.3389/frai.2025.1585629,8.0,2025,Original,high,performance,performance,Novel approach and methodology presented,Limitations and future work discussed,False,,,All download strategies failed,0.0
"The typical Integrated Circuit (IC) development process commences with formulating specifications in natural language and subsequently proceeds to Register Transfer Level (RTL) implementation. RTL code is traditionally generated through manual efforts, using Hardware Description Languages (HDL) such as VHDL or Verilog. High-Level Synthesis (HLS), on the other hand, converts programming languages to HDL; these methods aim to streamline the engineering process, minimizing human effort and errors. Currently, Electronic Design Automation (EDA) algorithms have been improved with the use of AI, with new advancements in commercial (such as ChatGPT, Bard, among others) Large Language Models (LLM) and open-source tools presenting an opportunity to automate the chip design process. This paper centers on the creation of AI by AI, a Convolutional Neural Network (CNN) IC entirely developed by an LLM (ChatGPT-4), and its manufacturing with the first fabricable open-source Process Design Kit (PDK), SKY130A. The challenges, opportunities, advantages, disadvantages, conversation flow, and workflow involved in CNN IC development are presented in this work, culminating in the manufacturing process of AI by AI using a 130 nm technology, marking a groundbreaking achievement as possibly the world’s first CNN entirely written by AI for its IC manufacturing with a free PDK, being a benchmark for systems that can be generated today with LLMs.",Emilio Isaac Baungarten-Leon; Susana Ortega-Cisneros; Mohamed Abdelmoneum; Ruth Yadira Vidana Morales; German Pinedo-Diaz,10.3390/electronics13091704,9.0,Electronics,1704,paper_007,MDPI AG,The Genesis of AI by AI Integrated Circuit: Where AI Creates AI,journal-article,https://doi.org/10.3390/electronics13091704,13.0,2024,Original,high,others,,Novel approach and methodology presented,Limitations and future work discussed,False,,,All download strategies failed,0.0
,Kazuhiro Motegi,10.5104/jiep.27.243,3.0,Journal of The Japan Institute of Electronics Packaging,243-248,paper_008,Japan Institute of Electronics Packaging,AI Programming,journal-article,https://doi.org/10.5104/jiep.27.243,27.0,2024,Not found,low,others,,Not available,Not available,False,,,All download strategies failed,0.0
"War games have played an essential role in the development of military force structures, strategies, operational concepts, and more. Military organizations are currently confronting uncertainties over the ways in which Artificial Intelligence (AI) may affect warfare at nearly every level, from combat tactics to operational concepts to force structure to deterrence and national and international security. This paper explores how game designers and players can approach questions regarding how AI may be employed in alternative contexts allowing for insight into how emerging and imagined technologies may affect warfare at many different levels of analysis. It identifies six application areas of AI technologies that games should consider—(1) principal–agent relations, (2) organizational and operational complexity, (3) attention management, (4) exploratory analysis, (5) information exploitation and model validation, and (6) adaptive behavior in open-ended systems—and suggests conceptual and practical strategies for investigating them in games that can be played in the absence of real-world systems and algorithms that perform these functions.",Aaron B Frank,10.1177/15485129221074352,1.0,"The Journal of Defense Modeling and Simulation: Applications, Methodology, Technology",5-18,paper_009,SAGE Publications,Gaming AI without AI,journal-article,https://doi.org/10.1177/15485129221074352,22.0,2025,Original,high,"security, serverless","security, function",Novel approach and methodology presented,Not explicitly mentioned,False,,,All download strategies failed,0.0
,Mohamed Abduljawad; Abdullah Alsalmani; Ashwaq Alkaabi,10.1190/iceg2023-010.1,,"Seventh International Conference on Engineering Geophysics, Al Ain, UAE, 16–19 October 2023",46-49,paper_010,Society of Exploration Geophysicists,AI on AI: Training AI classifier on AI-generated remote sensing images,proceedings-article,https://doi.org/10.1190/iceg2023-010.1,,2024,Not found,low,others,,Not available,Not available,False,,,All download strategies failed,0.0
