consolidated_id,title,year,venue,category,keywords,Latency,Reliability & QoS,Security & Privacy,Cost,Energy Consumption,Resource Management,Benchmarking & Evaluation
28,Sequoia: Enabling Quality-of-Service in Serverless Computing,2020,ACM SoCC,"QoS, Scheduling","QoS, scheduling, isolation",No,Yes,No,No,No,Yes,No
29,QoS Aware FaaS Platform,2021,IEEE/ACM CCGrid,"QoS, Scheduling","QoS, FaaS scheduling",No,Yes,No,No,No,Yes,No
31,Adaptive Function Launching Acceleration in Serverless Computing Platforms,2019,IEEE ICPADS,"QoS, Performance","pre-warm, scheduling",No,Yes,No,No,No,Yes,Yes
32,Caerus: NIMBLE Task Scheduling for Serverless Analytics,2021,USENIX NSDI,"QoS, Scheduling","analytics, scheduling, performance",No,Yes,No,No,No,Yes,Yes
33,Kraken: Adaptive Container Provisioning for Deploying Dynamic DAGs in Serverless Platforms,2021,ACM SoCC,"QoS, ResourceMgmt","DAG, autoscaling",No,Yes,No,No,No,Yes,No
34,Spock: Exploiting Serverless Functions for SLO and Cost Aware Resource Procurement,2019,IEEE CLOUD,"QoS, Cost","SLO, cost optimization",No,Yes,No,Yes,No,Yes,No
42,FaaSNet: Scalable and Fast Provisioning of Custom Serverless Container Runtimes,2021,USENIX ATC,"Cost, Performance","provisioning, startup, cost",Yes,No,No,Yes,No,Yes,Yes
43,"CSPOT: Portable, Multi-Scale FaaS for IoT",2019,ACM/IEEE SEC,"Cost, ResourceMgmt","IoT, edge, cost",No,No,No,Yes,No,Yes,No
46,RAEF: Energy-efficient Resource Allocation through Energy Fungibility in Serverless,2021,IEEE ICPADS,"Energy, ResourceMgmt","energy allocation, RL scheduler",No,No,No,No,Yes,Yes,No
48,Harvesting Idle Resources for Accelerating Serverless Computing,2022,The Web Conference (WWW),"Energy, Performance","idle resources, energy reuse",No,No,No,No,Yes,Yes,Yes
49,A Holistic View on Resource Management in Serverless Computing Environments: Taxonomy and Future Directions,2021,ACM Computing Surveys,"ResourceMgmt, Survey","resource management, taxonomy",No,No,No,No,No,Yes,No
50,"Serverless Computing: State-of-the-Art, Challenges and Opportunities",2022,IEEE TSC (Early Access),"ResourceMgmt, Survey","survey, resource challenges",No,No,No,No,No,Yes,No
51,Scheduling Methods to Reduce Response Latency of Function as a Service,2020,IEEE SBAC-PAD,"ResourceMgmt, Performance","scheduling, latency",Yes,No,No,No,No,Yes,Yes
52,DistributedFaaS: Execution of Containerized Serverless Applications in Multi-Cloud Infrastructures,2019,Proc. 9th CLOSER,"ResourceMgmt, Multi-cloud","multi-cloud, scheduling",No,No,No,No,No,Yes,No
53,Adaptive Container Provisioning for Serverless Workflows (SFL Compiler),2021,WoSC '21,"ResourceMgmt, Performance","workflow, stateful functions",No,No,No,No,No,Yes,Yes
54,FunctionBench: A Suite of Workloads for Serverless Cloud Function Service,2019,IEEE CLOUD,"ResourceMgmt, Benchmarking","workloads, benchmark",No,No,No,No,No,Yes,Yes
55,Sizeless: Predicting the Optimal Size of Serverless Functions,2021,ACM Middleware,"ResourceMgmt, Performance","autoscaling, memory sizing",No,No,No,No,No,Yes,Yes
56,"Resource Management for Cloud Functions with Memory Tracing, Profiling and Autotuning",2020,6th Intl. Workshop on Serverless Computing,"ResourceMgmt, Performance","memory tuning, profiling",No,No,No,No,No,Yes,Yes
