paper_id,title,abstract,authors,journal,year,volume,issue,pages,publisher,doi,url,type
paper_001,Startup Latency Analysis in Java Frameworks for Serverless AWS Lambda Deployments.,"Cold start latency in serverless computing, particularly in Java-based AWS Lambda functions, presents a significant challenge for latency-sensitive applications. This study investigates the performance characteristics of three modern Java frameworks - Spring Boot, Micronaut, and Quarkus - deployed on AWS Lambda using the ARM64 (Graviton2) architecture. It evaluates cold start latency across three deployment configurations: managed runtime (with and without SnapStart) and GraalVM native images. Metrics were collected at varying memory allocations using Java 21. Results show that Quarkus consistently outperforms others in cold start latency on standard JVM, while SnapStart and GraalVM significantly reduce the number of cold starts and achieve sub-second latency, respectively. We discuss the implications of these findings for choosing a Java framework and runtime strategy on AWS Lambda, considering the trade-offs in deployment time, complexity, and performance. The paper concludes with recommendations for leveraging SnapStart and native images to mitigate cold start issues in Java serverless applications on ARM64.",Maksimov Viacheslav Yurievich,The American Journal of Engineering and Technology,2025,07,04,16-21,The USA Journals,10.37547/tajet/volume07issue04-03,https://doi.org/10.37547/tajet/volume07issue04-03,journal-article
paper_002,Empirical Evaluation of Cold Start Latency in Serverless Platforms,,Vinay Raj; Himanshu Chhaparwal; Satwik Saale,2024 3rd International Conference for Advancement in Technology (ICONAT),2024,,,1-6,IEEE,10.1109/iconat61936.2024.10775275,https://doi.org/10.1109/iconat61936.2024.10775275,proceedings-article
paper_003,Ataru: A Lightweight VMM + Runtime for Low Latency Serverless Functions,,Prakhar Gupta; J. Lakshmi,2024 IEEE International Conference on Cloud Computing Technology and Science (CloudCom),2024,,,41-48,IEEE,10.1109/cloudcom62794.2024.00019,https://doi.org/10.1109/cloudcom62794.2024.00019,proceedings-article
paper_004,A Review: Cold Start Latency in Serverless Computing,,Parikshit Verma; Paurav Goel; Neetu Rani,2024 Sixth International Conference on Computational Intelligence and Communication Technologies (CCICT),2024,,,141-148,IEEE,10.1109/ccict62777.2024.00034,https://doi.org/10.1109/ccict62777.2024.00034,proceedings-article
paper_005,A survey on the cold start latency approaches in serverless computing: an optimization-based perspective,,Mohsen Ghorbian; Mostafa Ghobaei-Arani,Computing,2024,106,11,3755-3809,Springer Science and Business Media LLC,10.1007/s00607-024-01335-5,https://doi.org/10.1007/s00607-024-01335-5,journal-article
paper_006,"Cold start latency mitigation mechanisms in serverless computing: Taxonomy, review, and future directions",,Ana Ebrahimi; Mostafa Ghobaei-Arani; Hadi Saboohi,Journal of Systems Architecture,2024,151,,103115,Elsevier BV,10.1016/j.sysarc.2024.103115,https://doi.org/10.1016/j.sysarc.2024.103115,journal-article
paper_007,Dynamic Pre-Warm Strategies for Reducing Cold-Start Latency in Serverless Edge Computing,,Yicong Song; Baoliu Ye; Yue Zeng; Xindong Wang,"2024 20th International Conference on Mobility, Sensing and Networking (MSN)",2024,,,228-235,IEEE,10.1109/msn63567.2024.00040,https://doi.org/10.1109/msn63567.2024.00040,proceedings-article
paper_008,FaaSt: A Latency-Aware Serverless Scheme for Edge-Cloud Environments,,Kien Nguyen; Hiep Dao; Tung Nguyen; Frank Loh; Nguyen Huu Thanh; Tobias Hoβfeld,2024 IEEE 13th International Conference on Cloud Networking (CloudNet),2024,,,1-9,IEEE,10.1109/cloudnet62863.2024.10815895,https://doi.org/10.1109/cloudnet62863.2024.10815895,proceedings-article
paper_009,Latency-Sensitive Function Placement among Heterogeneous Nodes in Serverless Computing,"Function as a Service (FaaS) is highly beneficial to smart city infrastructure due to its flexibility, efficiency, and adaptability, specifically for integration in the digital landscape. FaaS has serverless setup, which means that an organization no longer has to worry about specific infrastructure management tasks; the developers can focus on how to deploy and create code efficiently. Since FaaS aligns well with the IoT, it easily integrates with IoT devices, thereby making it possible to perform event-based actions and real-time computations. In our research, we offer an exclusive likelihood-based model of adaptive machine learning for identifying the right place of function. We employ the XGBoost regressor to estimate the execution time for each function and utilize the decision tree regressor to predict network latency. By encompassing factors like network delay, arrival computation, and emphasis on resources, the machine learning model eases the selection process of a placement. In replication, we use Docker containers, focusing on serverless node type, serverless node variety, function location, deadlines, and edge-cloud topology. Thus, the primary objectives are to address deadlines and enhance the use of any resource, and from this, we can see that effective utilization of resources leads to enhanced deadline compliance.",Urooba Shahid; Ghufran Ahmed; Shahbaz Siddiqui; Junaid Shuja; Abdullateef Oluwagbemiga Balogun,Sensors,2024,24,13,4195,MDPI AG,10.3390/s24134195,https://doi.org/10.3390/s24134195,journal-article
paper_010,AIHO: Enhancing task offloading and reducing latency in serverless multi-edge-to-cloud systems,,Xin Li; Long Chen; Zian Yuan; Guangrui Liu,Future Generation Computer Systems,2025,165,,107607,Elsevier BV,10.1016/j.future.2024.107607,https://doi.org/10.1016/j.future.2024.107607,journal-article
